,Gene,Hallmark,Subprocess,ENSEMBL,ENSEMBL_mice
205,RELA,Senescence,SASP,ENSG00000173039,ENSMUSG00000024927
206,ACTG1,Senescence,SASP,ENSG00000291420,ENSMUSG00000062825
207,ADAMTS1,Senescence,Other,ENSG00000154734,ENSMUSG00000022893
208,ANKRD1,Senescence,SASP,ENSG00000148677,ENSMUSG00000024803
209,ARG2,Senescence,SASP,ENSG00000081181,ENSMUSG00000021125
210,ATM,Senescence,SASP,ENSG00000149311,ENSMUSG00000034218
211,ATR,Senescence,SASP,ENSG00000175054,ENSMUSG00000032409
212,BCL2A1,Senescence,Upregulation of anti-apoptotic pathways,ENSG00000140379,
213,BHLHA15,Senescence,SASP,ENSG00000180535,ENSMUSG00000052271
214,BHLHE40,Senescence,Cell cycle arrest,ENSG00000134107,ENSMUSG00000030103
215,BNC1,Senescence,,ENSG00000169594,ENSMUSG00000025105
216,CASP3,Senescence,SASP,ENSG00000164305,ENSMUSG00000031628
217,CD68,Senescence,SASP,ENSG00000129226,ENSMUSG00000018774
218,CDK1,Senescence,SASP,ENSG00000170312,ENSMUSG00000019942
219,CXCL11,Senescence,SASP,ENSG00000169248,
220,DNAJA3,Senescence,SASP,ENSG00000276726,ENSMUSG00000004069
221,ID3,Senescence,SASP,ENSG00000283060,ENSMUSG00000007872
222,KRAS,Senescence,DNA damage response,ENSG00000133703,ENSMUSG00000030265
223,SMAD4,Senescence,DNA damage response,ENSG00000141646,ENSMUSG00000024515
224,TGFBR2,Senescence,SASP,ENSG00000163513,ENSMUSG00000032440
225,TLR2,Senescence,SASP,ENSG00000137462,ENSMUSG00000027995
226,TNFRSF9,Senescence,SASP,ENSG00000049249,ENSMUSG00000028965
227,EEF1A1,Senescence,Nuclear changes,ENSG00000156508,ENSMUSG00000037742
228,NAMPT,Senescence,Nuclear changes,ENSG00000105835,ENSMUSG00000020572
229,SIRT3,Senescence,Nuclear changes,ENSG00000142082,ENSMUSG00000025486
230,TREM1,Senescence,SASP,ENSG00000124731,ENSMUSG00000042265
231,ACVR1B,Senescence,SASP_Transmembrane,ENSG00000135503,ENSMUSG00000000532
232,ANG,Senescence,SASP_Secreted,ENSG00000214274,ENSMUSG00000072115
233,ANGPT1,Senescence,SASP_Secreted,ENSG00000154188,ENSMUSG00000022309
234,ANGPTL4,Senescence,SASP_Secreted,ENSG00000167772,ENSMUSG00000002289
235,AREG,Senescence,SASP_Intracellular,ENSG00000109321,ENSMUSG00000029378
236,BEX3,Senescence,SASP,ENSG00000166681,ENSMUSG00000046432
237,BMP2,Senescence,SASP_Secreted,ENSG00000125845,ENSMUSG00000027358
238,C3,Senescence,SASP_Secreted,ENSG00000125730,ENSMUSG00000024164
239,CCL13,Senescence,SASP_Secreted,ENSG00000181374,
240,CCL16,Senescence,SASP_Secreted,ENSG00000275152,
241,CD55,Senescence,SASP_Secreted,ENSG00000196352,ENSMUSG00000026399
242,CD9,Senescence,SASP_Transmembrane,ENSG00000010278,ENSMUSG00000030342
243,CSF2RB,Senescence,SASP_Transmembrane,ENSG00000100368,ENSMUSG00000071713
244,CST4,Senescence,SASP_Secreted,ENSG00000101441,
245,CST5,Senescence,SASP,ENSG00000170367,ENSMUSG00000033156
246,CTNNB1,Senescence,SASP_Transmembrane,ENSG00000168036,ENSMUSG00000006932
247,CXCL13,Senescence,SASP,ENSG00000156234,ENSMUSG00000023078
248,CXCR2,Senescence,SASP_Transmembrane,ENSG00000180871,ENSMUSG00000026180
249,DKK1,Senescence,SASP_Secreted,ENSG00000107984,ENSMUSG00000024868
250,EDN1,Senescence,SASP_Secreted,ENSG00000078401,ENSMUSG00000021367
251,EGF,Senescence,SASP_Transmembrane,ENSG00000138798,ENSMUSG00000028017
252,EGFR,Senescence,SASP_Transmembrane,ENSG00000146648,ENSMUSG00000020122
253,EREG,Senescence,SASP_Secreted,ENSG00000124882,ENSMUSG00000029377
254,ESM1,Senescence,SASP_Secreted,ENSG00000164283,ENSMUSG00000042379
255,ETS2,Senescence,SASP_Intracellular,ENSG00000157557,ENSMUSG00000022895
256,FASLG,Senescence,SASP,ENSG00000117560,
257,FGF1,Senescence,SASP_Secreted,ENSG00000113578,ENSMUSG00000036585
258,FGF7,Senescence,SASP_Secreted,ENSG00000140285,ENSMUSG00000027208
259,FOXO4,Senescence,SASP,ENSG00000184481,ENSMUSG00000042903
260,GATA4,Senescence,SASP,ENSG00000136574,ENSMUSG00000021944
261,GEM,Senescence,SASP_Intracellular,ENSG00000164949,ENSMUSG00000028214
262,GMFG,Senescence,SASP_Intracellular,ENSG00000130755,ENSMUSG00000060791
263,ICAM5,Senescence,SASP,ENSG00000105376,ENSMUSG00000032174
264,IGFBP1,Senescence,SASP_Secreted,ENSG00000146678,ENSMUSG00000020429
265,IGFBP6,Senescence,SASP_Secreted,ENSG00000167779,ENSMUSG00000023046
266,IL13,Senescence,SASP_Secreted,ENSG00000169194,ENSMUSG00000020383
267,IL18,Senescence,SASP_Secreted,ENSG00000150782,ENSMUSG00000039217
268,IL32,Senescence,SASP_Secreted,ENSG00000008517,
269,IL6ST,Senescence,SASP_Transmembrane,ENSG00000134352,ENSMUSG00000021756
270,INHA,Senescence,SASP_Secreted,ENSG00000123999,ENSMUSG00000032968
271,IQGAP2,Senescence,SASP_Intracellular,ENSG00000145703,ENSMUSG00000021676
272,ITGA2,Senescence,SASP_Transmembrane,ENSG00000164171,ENSMUSG00000015533
273,ITPKA,Senescence,SASP_Intracellular,ENSG00000137825,ENSMUSG00000027296
274,JUN,Senescence,SASP_Intracellular,ENSG00000177606,ENSMUSG00000052684
275,KITLG,Senescence,SASP_Intracellular,ENSG00000049130,
276,LCP1,Senescence,SASP_Intracellular,ENSG00000136167,ENSMUSG00000021998
277,MMP14,Senescence,SASP_Intracellular,ENSG00000157227,ENSMUSG00000000957
278,NAP1L4,Senescence,SASP_Intracellular,ENSG00000273562,ENSMUSG00000059119
279,NFKBIA,Senescence,SASP,ENSG00000100906,ENSMUSG00000021025
280,NRG1,Senescence,SASP_Secreted,ENSG00000157168,ENSMUSG00000062991
281,PDGFA,Senescence,SASP,ENSG00000197461,ENSMUSG00000025856
282,PECAM1,Senescence,SASP_Intracellular,ENSG00000261371,ENSMUSG00000020717
283,PGF,Senescence,SASP_Secreted,ENSG00000119630,ENSMUSG00000004791
284,PIGF,Senescence,SASP_Transmembrane,ENSG00000151665,ENSMUSG00000024145
285,PTBP1,Senescence,SASP_Intracellular,ENSG00000011304,ENSMUSG00000006498
286,PTGER2,Senescence,SASP_Transmembrane,ENSG00000125384,ENSMUSG00000037759
287,PTGES,Senescence,SASP_Intracellular,ENSG00000148344,ENSMUSG00000050737
288,RPS6KA5,Senescence,SASP_Intracellular,ENSG00000100784,ENSMUSG00000021180
289,SCAMP4,Senescence,SASP_Intracellular,ENSG00000227500,ENSMUSG00000113949
290,SELPLG,Senescence,SASP_Transmembrane,ENSG00000110876,ENSMUSG00000048163
291,SERPINB4,Senescence,SASP_Intracellular,ENSG00000206073,
292,SPX,Senescence,SASP_Secreted,ENSG00000134548,ENSMUSG00000071112
293,TGFBR1,Senescence,SASP,ENSG00000106799,ENSMUSG00000007613
294,TNFRSF10C,Senescence,SASP_Transmembrane,ENSG00000173535,
295,TNFRSF11B,Senescence,SASP_Transmembrane,ENSG00000164761,ENSMUSG00000063727
296,TUBGCP2,Senescence,SASP_Intracellular,ENSG00000130640,ENSMUSG00000025474
297,VEGFC,Senescence,SASP_Secreted,ENSG00000150630,ENSMUSG00000031520
298,VGF,Senescence,SASP_Secreted,ENSG00000128564,ENSMUSG00000037428
299,WNT16,Senescence,SASP_Secreted,ENSG00000002745,ENSMUSG00000029671
300,WNT2,Senescence,SASP_Transmembrane,ENSG00000105989,ENSMUSG00000010797
301,CXCR3,Senescence,SASP,ENSG00000186810,ENSMUSG00000050232
302,H2AJ,Senescence,Nuclear changes,ENSG00000246705,ENSMUSG00000060032
303,RARRES2,Senescence,SASP,ENSG00000106538,ENSMUSG00000009281
304,TNFRSF12A,Senescence,Other,ENSG00000006327,ENSMUSG00000023905
305,CTSL,Senescence,Other,ENSG00000135047,ENSMUSG00000021477
306,PROS1,Senescence,Other,ENSG00000184500,ENSMUSG00000022912
307,SERPINB1,Senescence,Other,ENSG00000021355,
308,HAPLN3,Senescence,Other,ENSG00000140511,ENSMUSG00000030606
309,CREM,Senescence,Other,ENSG00000095794,ENSMUSG00000063889
310,MAFF,Senescence,Other,ENSG00000185022,ENSMUSG00000042622
311,MT1M,Senescence,Other,ENSG00000205364,
312,INHBB,Senescence,Other,ENSG00000163083,ENSMUSG00000037035
313,MOV10,Senescence,Other,ENSG00000155363,ENSMUSG00000002227
314,A2M,Senescence,Other,ENSG00000175899,ENSMUSG00000030111
315,BCL3,Senescence,Other,ENSG00000069399,ENSMUSG00000053175
316,GLIPR1,Senescence,Other,ENSG00000139278,ENSMUSG00000056888
317,NR4A1,Senescence,Other,ENSG00000123358,ENSMUSG00000023034
318,THBD,Senescence,Other,ENSG00000178726,ENSMUSG00000074743
319,RGS16,Senescence,Other,ENSG00000143333,ENSMUSG00000026475
320,GPR4,Senescence,Other,ENSG00000177464,ENSMUSG00000044317
321,NEDD9,Senescence,Other,ENSG00000111859,ENSMUSG00000021365
322,SHC1,Senescence,Other,ENSG00000160691,ENSMUSG00000042626
323,LTBP1,Senescence,Other,ENSG00000049323,ENSMUSG00000001870
324,CD14,Senescence,Other,ENSG00000170458,ENSMUSG00000051439
325,IER3,Senescence,Other,ENSG00000237155,ENSMUSG00000003541
326,ANPEP,Senescence,Other,ENSG00000166825,ENSMUSG00000039062
327,LOX,Senescence,Other,ENSG00000113083,ENSMUSG00000024529
328,APOE,Senescence,Other,ENSG00000130203,ENSMUSG00000002985
329,TGFBI,Senescence,Other,ENSG00000120708,ENSMUSG00000035493
330,SNAI1,Senescence,Other,ENSG00000124216,ENSMUSG00000042821
331,IL4R,Senescence,Other,ENSG00000077238,
332,JUNB,Senescence,Other,ENSG00000171223,ENSMUSG00000052837
